_id,geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhisp_est,nhisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,nnhwhite_est,nnhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
65,04000US10,Delaware,2010,11.829409,0.56296861,,,,,8.8350039,2.2451906,20.518026,1.9404527,21.68869,3.3939235,10.945002,0.68491215,,,7.8761549,0.50541526,19.422739,1.908343,,,,,13.064176,2.6712422,9.0481787,0.59034431
66,04000US10,Delaware,2011,11.880846,0.56131595,,,,,5.0784698,1.3573172,20.149715,1.7092086,21.618092,2.8993032,10.985709,0.66853517,,,7.7274094,0.60121846,19.721039,1.9778901,,,,,26.325039,4.0026751,8.5770035,0.60060382
67,04000US10,Delaware,2012,12.046977,0.53748852,,,,,,,18.325436,1.5354722,23.514248,2.797585,10.958799,0.64567101,,,8.7898445,0.53006154,17.954664,1.7906733,,,,,15.352928,2.8409572,10.047974,0.59226
68,04000US10,Delaware,2013,12.365243,0.64738703,,,,,,,17.490873,1.6365426,30.375895,3.6906774,10.627477,0.79435909,,,8.6104345,0.55813819,19.12529,2.0719635,,,,,24.598045,6.5563259,9.7668667,0.62254608
69,04000US10,Delaware,2014,12.478742,0.53051615,,,,,,,19.911852,1.360085,21.600206,2.4739892,11.582221,0.63146365,,,8.8807354,0.55405325,18.841188,1.7645983,,,,,19.725836,2.9953206,9.8350687,0.62828755
70,04000US10,Delaware,2015,12.42564,0.63186789,,,,,5.9645562,1.8575509,20.152973,1.9820631,29.63463,3.3140035,10.704733,0.77010405,,,7.4601812,0.48029068,20.972412,1.9068269,27.579767,3.4863381,24.36861,2.7501385,22.20545,3.9062195,9.5614309,0.62502956
71,04000US10,Delaware,2016,11.67496,0.53926229,,,,,,,18.296461,1.8622257,24.532124,2.5770831,10.370324,0.64906299,,,7.5645752,0.42090076,18.671413,1.6229326,,,,,19.172106,3.5247509,9.0206032,0.52446181
72,04000US10,Delaware,2017,13.58216,0.60721022,,,,,11.876491,1.8871583,20.750034,1.7709806,21.575941,2.6795802,12.763489,0.72373778,,,9.8143196,0.58528,19.89583,1.8969156,,,,,,,10.659016,0.61352426
73,04000US11,District of Columbia,2009,18.400682,0.98343176,,,,,,,26.826855,1.6559709,10.690894,2.328793,19.175531,1.1072438,,,7.0376158,0.67321283,23.751251,1.4789897,,,,,,,7.3449411,0.62889391
74,04000US11,District of Columbia,2010,19.164974,0.80665314,,,,,,,27.069187,1.3142792,14.693354,2.7615891,19.629772,0.93559343,,,8.5007687,0.60302156,24.57085,1.252242,,,,,,,9.2681093,0.75781351
75,04000US11,District of Columbia,2011,18.707865,0.83251578,,,,,,,27.775261,1.5157534,18.111172,3.0627398,18.772661,0.9810136,,,6.770792,0.71745753,24.937586,1.3182592,,,,,,,7.9543509,0.96246099
76,04000US11,District of Columbia,2012,18.178019,0.78714228,,,,,,,25.673576,1.3086367,22.083511,2.6403601,17.731602,0.92763174,,,7.3789825,0.81555974,23.994558,1.2867863,,,,,,,8.0752735,0.93371242
77,04000US11,District of Columbia,2013,18.887424,0.73515481,,,,,,,28.659168,1.3631063,12.587467,2.2754195,19.618273,0.86176813,,,7.7456503,0.63472581,24.931234,1.1830019,,,,,,,8.3845978,0.70491201
78,04000US11,District of Columbia,2014,17.725647,0.75873446,,,,,,,25.873079,1.3473843,16.916573,2.9078543,17.820896,0.91452283,,,6.8957896,0.56715238,23.688347,1.2159878,,,,,,,7.7754641,0.73949897
